WKT,id,left,top,right,bottom,row_index,col_index
"POLYGON ((6653839.67561673 2284507.94649017,6661844.92496056 2284507.94649017,6661844.92496056 2276502.69714634,6653839.67561673 2276502.69714634,6653839.67561673 2284507.94649017))","53",6653839.67561673,2284507.94649017,6661844.92496056,2276502.69714634,"0","2"
"POLYGON ((6653839.67561673 2276502.69714634,6661844.92496056 2276502.69714634,6661844.92496056 2268497.4478025,6653839.67561673 2268497.4478025,6653839.67561673 2276502.69714634))","54",6653839.67561673,2276502.69714634,6661844.92496056,2268497.4478025,"1","2"
"POLYGON ((6653839.67561673 2268497.4478025,6661844.92496056 2268497.4478025,6661844.92496056 2260492.19845867,6653839.67561673 2260492.19845867,6653839.67561673 2268497.4478025))","55",6653839.67561673,2268497.4478025,6661844.92496056,2260492.19845867,"2","2"
"POLYGON ((6653839.67561673 2260492.19845867,6661844.92496056 2260492.19845867,6661844.92496056 2252486.94911484,6653839.67561673 2252486.94911484,6653839.67561673 2260492.19845867))","56",6653839.67561673,2260492.19845867,6661844.92496056,2252486.94911484,"3","2"
"POLYGON ((6653839.67561673 2252486.94911484,6661844.92496056 2252486.94911484,6661844.92496056 2244481.69977101,6653839.67561673 2244481.69977101,6653839.67561673 2252486.94911484))","57",6653839.67561673,2252486.94911484,6661844.92496056,2244481.69977101,"4","2"
"POLYGON ((6653839.67561673 2244481.69977101,6661844.92496056 2244481.69977101,6661844.92496056 2236476.45042718,6653839.67561673 2236476.45042718,6653839.67561673 2244481.69977101))","58",6653839.67561673,2244481.69977101,6661844.92496056,2236476.45042718,"5","2"
"POLYGON ((6653839.67561673 2236476.45042718,6661844.92496056 2236476.45042718,6661844.92496056 2228471.20108334,6653839.67561673 2228471.20108334,6653839.67561673 2236476.45042718))","59",6653839.67561673,2236476.45042718,6661844.92496056,2228471.20108334,"6","2"
"POLYGON ((6653839.67561673 2228471.20108334,6661844.92496056 2228471.20108334,6661844.92496056 2220465.95173951,6653839.67561673 2220465.95173951,6653839.67561673 2228471.20108334))","60",6653839.67561673,2228471.20108334,6661844.92496056,2220465.95173951,"7","2"
"POLYGON ((6653839.67561673 2220465.95173951,6661844.92496056 2220465.95173951,6661844.92496056 2212460.70239568,6653839.67561673 2212460.70239568,6653839.67561673 2220465.95173951))","61",6653839.67561673,2220465.95173951,6661844.92496056,2212460.70239568,"8","2"
"POLYGON ((6653839.67561673 2212460.70239568,6661844.92496056 2212460.70239568,6661844.92496056 2204455.45305185,6653839.67561673 2204455.45305185,6653839.67561673 2212460.70239568))","62",6653839.67561673,2212460.70239568,6661844.92496056,2204455.45305185,"9","2"
"POLYGON ((6653839.67561673 2204455.45305185,6661844.92496056 2204455.45305185,6661844.92496056 2196450.20370802,6653839.67561673 2196450.20370802,6653839.67561673 2204455.45305185))","63",6653839.67561673,2204455.45305185,6661844.92496056,2196450.20370802,"10","2"
"POLYGON ((6653839.67561673 2196450.20370802,6661844.92496056 2196450.20370802,6661844.92496056 2188444.95436418,6653839.67561673 2188444.95436418,6653839.67561673 2196450.20370802))","64",6653839.67561673,2196450.20370802,6661844.92496056,2188444.95436418,"11","2"
